id,article,txt
3.1.X.X.X.1,1,"Article 1 By the present Treaty, the HIGH CONTRACTING PARTIES establish among themselves a EUROPEAN ECONOMIC COMMUNITY."
3.1.X.X.X.2,2,"Article 2 The Community shall have as its task, by establishing a common market and an economic and monetary union and by implementing the common policies or activities referred to in Articles 3 and 3a, to promote throughout the Community a harmonious and balanced development of economic activities, sustainable and non-inflationary growth respecting the environment, a high degree of convergence of economic performance, a high level of employment and of social protection, the raising of the standard of living and quality of life, and economic and social cohesion and solidarity among Member States."
3.1.X.X.X.3,3,"Article 3 For the purposes set out in Article 2, the activities of the Community shall include, as provided in this Treaty and in accordance with the timetable set out therein: (a) the elimination, as between Member States, of customs duties and quantitative restrictions on the import and export of goods, and of all other measures having equivalent effect; (b) a common commercial policy; (c) an internal market characterized by the abolition, as between Member States, of obstacles to the free movement of goods, persons, services and capital; (d) measures concerning the entry and movement of persons in the internal market as provided for in Article 100c; (e) a common policy in the sphere of agriculture and fisheries; (f) a common policy in the sphere of transport; (g) a system ensuring that competition in the internal market is not distorted; (h) the approximation of the laws of Member States to the extent required for the functioning of the common market; (i) a policy in the social sphere comprising a European Social Fund; (j) the strengthening of economic and social cohesion; (k) a policy in the sphere of the environment; (l) the strengthening of the competitiveness of Community industry; (m) the promotion of research and technological development; (n) encouragement for the establishment and development of trans-European networks; (o) a contribution to the attainment of a high level of health protection; (p) a contribution to education and training of quality and to the flowering of the cultures of the Member States; (q) a policy in the sphere of development cooperation; (r) the association of the overseas countries and territories in order to increase trade and promote jointly economic and social development; (s) a contribution to the strengthening of consumer protection; (t) measures in the spheres of energy, civil protection and tourism."
3.1.X.X.X.3a,3a,"Article 3a 1. For the purposes set out in Article 2, the activities of the Member States and the Community shall include, as provided in this Treaty and in accordance with the timetable set out therein, the adoption of an economic policy which is based on the close coordination of Member States' economic policies, on the internal market and on the definition of common objectives, and conducted in accordance with the principle of an open market economy with free competition. 2. Concurrently with the foregoing, and as provided in this Treaty and in accordance with the timetable and the procedures set out therein, these activities shall include the irrevocable fixing of exchange rates leading to the introduction of a single currency, the ECU, and the definition and conduct of a single monetary policy and exchange rate policy the primary objective of both of which shall be to maintain price stability and, without prejudice to this objective, to support the general economic policies in the Community, in accordance with the principle of an open market economy with free competition. 3. These activities of the Member States and the Community shall entail compliance with the following guiding principles: stable prices, sound public finances and monetary conditions and a sustainable balance of payments."
3.1.X.X.X.3b,3b,"Article 3b The Community shall act within the limits of the powers conferred upon it by this Treaty and of the objectives assigned to it therein. In areas which do not fall within its exclusive competence, the Community shall take action, in accordance with the principle of subsidiarity, only if and in so far as the objectives of the proposed action cannot be sufficiently achieved by the Member States and can therefore, by reason of the scale or effects of the proposed action, be better achieved by the Community. Any action by the Community shall not go beyond what is necessary to achieve the objectives of this Treaty."
3.1.X.X.X.4,4,"Article 4 1. The tasks entrusted to the Community shall be carried out by the following institutions: - a EUROPEAN PARLIAMENT, - a COUNCIL, - a COMMISSION, - a COURT OF JUSTICE, - a COURT OF AUDITORS. Each institution shall act within the limits of the powers conferred upon it by this Treaty. 2. The Council and the Commission shall be assisted by an Economic and Social Committee and a Committee of the Regions acting in an advisory capacity."
3.1.X.X.X.4a,4a,Article 4a A European System of Central Banks (hereinafter referred to as “ESCB”) and a European Central Bank (hereinafter referred to as “ECB”) shall be established in accordance with the procedures laid down in this Treaty; they shall act within the limits of the powers conferred upon them by this Treaty and by the Statute of the ESCB and of the ECB (hereinafter referred to as “Statute of the ESCB”) annexed thereto.
3.1.X.X.X.4b,4b,"Article 4b A European Investment Bank is hereby established, which shall act within the limits of the powers conferred upon it by this Treaty and the Statute annexed thereto."
3.1.X.X.X.5,5,Article 5 Member States shall take all general or particular measures which are appropriate for ensuring the carrying out of the obligations arising out of this Treaty or resulting from the acts of the institutions of the Community. They shall facilitate the achievement of the Community’s aims. They shall abstain from any measures likely to jeopardise the attainment of the objectives of this Treaty.
3.1.X.X.X.8,8,"Article 8 1. The Common Market shall be progressively established in the course of a transitional period of twelve years. The transitional period shall be divided into three stages of four years each; the length of each stage may be modified in accordance with the provisions set out below. 2. To each stage there shall be allotted a group of actions which shall be undertaken and pursued concurrently. 3. Transition from the first to the second stage shall be conditional upon a confirmatory statement to the effect that the essence of the objectives specifically laid down in this Treaty for the first stage has been in fact achieved and that, subject to the exceptions and procedures provided for in this Treaty, the obligations have been observed. This statement shall be made at the end of the fourth year by the Council acting by means of a unanimous vote on a report of the Commission. The invocation by a Member State of the non-fulfilment of its own obligations shall not, however, be an obstacle to a unanimous vote. Failing a unanimous vote, the first stage shall automatically be extended for a period of one year. At the end of the fifth year, the Council shall make such confirmatory statement under the same conditions. Failing a unanimous vote, the first stage shall automatically be extended for a further period of one year. At the end of the sixth year, the Council shall make such a statement acting by means of a qualified majority vote on a report of the Commission. 4. Within a period of one month as from the date of this last vote, each Member State voting in a minority or, if the required majority vote has not been obtained, any Member State, shall be entitled to require the Council to appoint an Arbitration Board whose decision shall bind all Member States and the institutions of the Community. The Arbitration Board shall be composed of three members appointed by the Council acting by means of a unanimous vote on a proposal of the Commission. If the Council has not, within a period of one month from the date of such requirement, appointed the members of the Arbitration Board, they shall be appointed by the Court of Justice within a further period of one month. The Arbitration Board shall appoint its Chairman. The Board shall give its award within a period of six months from the date of the vote by the Council referred to in paragraph 3, last sub-paragraph. 5. The second and third stages may not be extended or curtailed except pursuant to a decision of the Council acting by means of a unanimous vote on a proposal of the Commission. 6. The provisions of the preceding paragraphs shall not have the effect of extending the transitional period beyond a total duration of fifteen years after the date of the entry into force of this Treaty. 7. Subject to the exceptions or deviations provided for in this Treaty, the expiry of the transitional period shall constitute the final date for the entry into force of all the rules laid down and for the completion of all the measures required for the establishment of the Common Market."
3.2.3.4.X.73b,73b,"Article 73b 1. Within the framework of the provisions set out in this Chapter, all restrictions on the movement of capital between Member States and between Member States and third countries shall be prohibited. 2. Within the framework of the provisions set out in this Chapter, all restrictions on payments between Member States and between Member States and third countries shall be prohibited."
3.2.3.4.X.73c,73c,"Article 73c 1. The provisions of Article 73b shall be without prejudice to the application to third countries of any restrictions which exist on 31 December 1993 under national or Community law adopted in respect of the movement of capital to or from third countries involving direct investment - including investment in real estate -, establishment, the provision of financial services or the admission of securities to capital markets. 2. Whilst endeavouring to achieve the objective of free movement of capital between Member States and third countries to the greatest extent possible and without prejudice to the other Chapters of this Treaty, the Council may, acting by a qualified majority on a proposal from the Commission, adopt measures on the movement of capital to or from third countries involving direct investment - including investment in real estate -, establishment, the provision of financial services or the admission of securities to capital markets. Unanimity shall be required for measures under this paragraph which constitute a step back in Community law as regards the liberalization of the movement of capital to or from third countries."
